uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
WPGX673,PLCMRS,19,0,1,1306396,PW,50000.000,0,0.0,45.0,0.0,0.0,POINT,40.647889,-74.240139,,,,,,,,,ULS
WPIG291,PLCMRS,19,0,1,1292005,PW,55000.000,0,0.0,26.0,0.0,0.0,POINT,40.651222,-74.261528,,,,,,,,,ULS
WIL967,PLCMRS,19,0,1,1222299,PW,50000.000,0,0.0,37.0,0.0,0.0,POINT,40.604278,-74.274583,,,,,,,,,ULS
WQJS365,PLCMRS,20,0,1,3063528,YW,315000.000,0,0.0,85.3,0.0,0.0,POINT,40.586667,-74.242778,,,,,,,,,ULS
WQPX974,PLCMRS,19,0,4,3409366,YW,77600.000,0,0.0,85.3,0.0,0.0,POINT,40.586667,-74.242778,,,,,,,,,ULS
WQJS363,PLCMRS,20,0,4,3063526,YW,344000.000,0,0.0,52.1,0.0,0.0,POINT,40.547222,-74.292222,,,,,,,,,ULS
WQPX974,PLCMRS,19,0,1,3409366,YW,63100.000,0,0.0,52.1,0.0,0.0,POINT,40.547222,-74.292222,,,,,,,,,ULS
WQJS363,PLCMRS,20,0,2,3063526,YW,340000.000,0,0.0,19.8,0.0,0.0,POINT,40.600333,-74.313417,,,,,,,,,ULS
WQPX974,PLCMRS,19,0,3,3409366,YW,64600.000,0,0.0,19.8,0.0,0.0,POINT,40.600333,-74.313417,,,,,,,,,ULS
WPJL651,PLCMRS,19,0,1,1235176,YW,15000.000,0,0.0,6.0,0.0,0.0,POINT,40.570389,-74.451250,,,,,,,,,ULS
WPJL651,PLCMRS,19,0,3,1235176,YW,15000.000,0,0.0,6.0,0.0,0.0,POINT,40.556500,-74.494611,,,,,,,,,ULS
