uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
K09RP,TV_US,9,62507,0,36007,TX,54.000,20831,10.0,15.0,0.0,0.0,POINT,54.905503,-163.414215,,,,,,,,,CDBS
K04HM,TV_US,4,11560,0,304348,TX,39.000,20824,5.0,78.0,0.0,0.0,POINT,57.169543,-170.285079,,,,,,,,,CDBS
K09RB,TV_US,9,62691,0,35962,TX,53.000,20831,40.0,34.0,0.0,0.0,POINT,57.121186,-170.481474,,,,,,,,,CDBS
K09RE,TV_US,9,62508,0,35961,TX,54.000,20831,270.0,43.0,0.0,0.0,POINT,56.604376,-169.551611,,,,,,,,,CDBS
K09NI,TV_US,9,11494,0,301054,TX,13.000,20776,25.0,20.0,0.0,0.0,POINT,60.385865,-166.188943,,,,,,,,,CDBS
K04MK,TV_US,4,62736,0,48547,TX,43.000,20824,40.0,12.0,0.0,0.0,POINT,60.158948,-164.280078,,,,,,,,,CDBS
K07OL,TV_US,7,70206,0,304918,TX,13.000,20776,0.0,11.0,0.0,0.0,POINT,59.938392,-164.043400,,,,,,,,,CDBS
K13UK,TV_US,13,62524,0,77008,TX,55.000,20821,40.0,12.0,0.0,0.0,POINT,59.864226,-163.137836,,,,,,,,,CDBS
K09RG,TV_US,9,62806,0,35948,TX,56.000,20831,230.0,18.0,0.0,0.0,POINT,59.959228,-162.893946,,,,,,,,,CDBS
K13SK,TV_US,13,62496,0,47039,TX,54.000,20821,25.0,12.0,0.0,0.0,POINT,59.747285,-161.915313,,,,,,,,,CDBS
K11SD,TV_US,11,62541,0,84240,TX,55.000,20819,270.0,12.0,6.0,0.0,POINT,60.218126,-162.021999,,,,,,,,,CDBS
