uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
WQOD312,BAS,34,0,2,3311804,TT,0.000,0,0.0,0.0,6.0,0.0,KEYHOLE,38.541778,-112.072972,-18.6,8000,9898,,WQOD312,3311804,38.626306,-112.109139,ULS
WPOR948,BAS,48,0,2,1049379,TI,0.000,0,0.0,0.0,18.3,0.0,KEYHOLE,35.130611,-84.871306,-75.0,8000,13024,,WPOR948,1049379,35.160889,-85.009389,ULS
WQIG273,BAS,15,0,2,2980479,TS,0.000,0,0.0,0.0,17.0,0.0,KEYHOLE,34.468694,-85.297722,-94.5,8000,3313,,WQIG273,2980479,34.466333,-85.333667,ULS
WPNF350,BAS,15,0,2,1041632,TI,0.000,0,0.0,0.0,13.7,0.0,KEYHOLE,35.062556,-85.589111,-155.8,8000,12023,,WPNF350,1041632,34.963667,-85.643000,ULS
WLI258,BAS,34,0,2,991756,TS,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,35.022556,-85.261611,-148.7,8000,4438,,WLI258,991756,34.988389,-85.286889,ULS
WPOQ513,BAS,25,0,2,1048190,TI,0.000,0,0.0,0.0,18.3,0.0,KEYHOLE,34.789222,-84.969667,-1.9,8000,15910,,WPOQ513,1048190,34.932556,-84.975500,ULS
WPNF350,BAS,15,0,3,1041632,TI,0.000,0,0.0,0.0,45.7,0.0,KEYHOLE,35.253389,-85.819972,153.3,8000,35965,,WPNF350,1041632,34.963667,-85.643000,ULS
WPNF350,BAS,15,0,4,1041632,TI,0.000,0,0.0,0.0,54.9,0.0,KEYHOLE,34.683694,-86.028306,48.5,8000,46981,,WPNF350,1041632,34.963667,-85.643000,ULS
WQCG823,BAS,35,0,2,2697941,TS,0.000,0,0.0,0.0,75.5,0.0,KEYHOLE,34.566667,-86.912778,-71.0,8000,7115,,WQCG823,2697941,34.587500,-86.986111,ULS
WMV446,BAS,22,0,2,1008022,TI,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,37.597417,-118.810389,-79.9,8000,19723,,WMV446,1008022,37.628250,-119.030389,ULS
WQSB861,BAS,25,0,2,3509886,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,40.116972,-120.317944,-17.6,8000,28905,,WQSB861,3509886,40.365000,-120.421083,ULS
WQSB862,BAS,23,0,2,3509887,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,40.446556,-120.357972,-149.4,8000,10522,,WQSB862,3509887,40.365000,-120.421083,ULS
WQID522,BAS,32,0,2,2975143,TT,0.000,0,0.0,0.0,4.7,0.0,KEYHOLE,41.010000,-117.764444,-113.7,8000,536,,WQID522,2975143,41.008056,-117.770278,ULS
WQID523,BAS,29,0,2,2975144,TT,0.000,0,0.0,0.0,4.7,0.0,KEYHOLE,41.010000,-117.764444,-113.7,8000,536,,WQID523,2975144,41.008056,-117.770278,ULS
WQID524,BAS,30,0,2,2975145,TT,0.000,0,0.0,0.0,4.7,0.0,KEYHOLE,41.010000,-117.764444,-113.7,8000,536,,WQID524,2975145,41.008056,-117.770278,ULS
WQID525,BAS,31,0,2,2975146,TT,0.000,0,0.0,0.0,4.7,0.0,KEYHOLE,41.010000,-117.764444,-113.7,8000,536,,WQID525,2975146,41.008056,-117.770278,ULS
WMU571,BAS,42,0,2,1007360,TT,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,40.699917,-115.903389,-98.3,8000,66075,,WMU571,1007360,40.611028,-116.675917,ULS
WPWV952,BAS,33,0,2,2481241,TI,0.000,0,0.0,0.0,8.0,0.0,KEYHOLE,40.699917,-115.903389,58.8,8000,69600,,WPWV952,2481241,41.022139,-115.195333,ULS
