channel,service,country,state,city,lat,lon,fac_callsign,arn,app_id,haat,da,erp,facility_id,rcamsl,ref az,ant_id
38,DT,US,LA,WEST MONROE,323021,920855,KMCT-TV,BMLCDT20090915ADF,1475499,144,DA,14,38584,169.8,0,107694
36,DT,US,MA,ADAMS,423814,731008,WCDC-TV,BLCDT20080718AAO,1257192,631,DA,27.5,74419,1102,0,86628
19,DT,US,MA,BOSTON,421837,711414,WGBH-TV,BLEDT20021219AAM,621102,374,ND,700,72099,417,,
20,DT,US,MA,BOSTON,421837,711414,WCVB-TV,BLCDT20020102AAH,590491,390,ND,625,65684,433.4,,
25,DC,US,MA,BOSTON,421827,711327,WFXZ-CD,BLDTA20100324ACN,1360941,0,DA,15,64833,291.6,70,20806
30,DT,US,MA,BOSTON,421837,711414,WBZ-TV,BLCDT20060420ABG,1127010,390,DA,825,25456,434,0,72835
31,DT,US,MA,BOSTON,421810,711307,WFXT,BLCDT20090422ABH,1307795,363,DA,780,6463,403,0,85145
32,DT,US,MA,BOSTON,421827,711327,WBPX-TV,BLCDT20040723ACG,1006480,292,DA,300,7692,335,0,41971
39,DT,US,MA,BOSTON,421837,711414,WSBK-TV,BLCDT20021009AAF,614548,390,ND,135,73982,434,,
42,DT,US,MA,BOSTON,421841,711300,WHDH,BLCDT20101217AAX,1412025,288,ND,1000,72145,331.1,,
43,DT,US,MA,BOSTON,421837,711414,WGBX-TV,BLEDT20021219AAN,621108,391,ND,500,72098,434,,
41,DT,US,MA,CAMBRIDGE,421810,711307,WLVI,BLCDT20110325AAM,1421082,346,DA,690,73238,390,0,94084
18,DT,US,MA,LAWRENCE,421827,711327,WMFP,BLCDT20061219ACO,1165343,289.2,DA,1000,41436,330.6,0,70131
27,DT,US,MA,MARLBOROUGH,422302,712937,WUTF-DT,BLCDT20120821ABC,1512005,356,DA,400,60551,437.1,0,108564
22,DT,US,MA,NEW BEDFORD,414639,705541,WLWC,BLCDT20130130AFX,1538788,221.6,DA,425,3978,248.1,0,107368
49,DT,US,MA,NEW BEDFORD,415154,711715,WLNE-TV,BLCDT20040930BBS,1016327,284,DA,350,22591,313,0,66255
10,DT,US,MA,NORWELL,420038,710242,WWDP,BLCDT20090227ABX,1297765,142,ND,5,23671,173.5,,
13,DT,US,MA,PITTSFIELD,423813,735945,WNYA,BLCDT20090619ADK,1316983,301,DA,12.7,136751,538.3,70,89843
11,DT,US,MA,SPRINGFIELD,420505,724214,WWLP,BLCDT20090612AJV,1317777,247,DA,15.8,6868,325,0,87511
22,DT,US,MA,SPRINGFIELD,421429,723856,WGBY-TV,BLEDT20090612ACH,1316405,306,ND,50,72096,403.9,,
28,DC,US,MA,SPRINGFIELD,421505,723843,WFXQ-CD,BLDTA20100126ADA,1354525,0,DA,0.024,2650,361,0,72159
40,DT,US,MA,SPRINGFIELD,421430,723857,WGGB-TV,BLCDT20100702BBL,1382720,324,DA,460,25682,418.8,0,90390
40,DT,US,MA,VINEYARD HAVEN,414120,702049,WDPX-TV,BLCDT20110615ABP,1432244,153,DA,500,6476,161.5,0,87652
29,DT,US,MA,WORCESTER,422009,714255,WUNI,BLCDT20090821ABQ,1329014,468,ND,270,30577,613,,
47,DT,US,MA,WORCESTER,421837,711414,WYDN,BPEDT20120215ACA,1488079,319,DA,84.8,18783,362.6,0,108407
42,DT,US,MD,ANNAPOLIS,390036,763633,WMPT,BLEDT20100813BHC,1395471,290,DA,516,65942,312.5,0,88753
11,DT,US,MD,BALTIMORE,392005,763903,WBAL-TV,BLCDT20111102ACP,1434843,299,ND,26.6,65696,383,,
13,DT,US,MD,BALTIMORE,392005,763903,WJZ-TV,BLCDT20110914AAS,1444013,295,DA,33.8,25455,378,0,106123
29,DT,US,MD,BALTIMORE,392650,764648,WMPB,BLEDT20090330AEX,1302746,309,DA,42.6,65944,464.4,0,87779
38,DT,US,MD,BALTIMORE,392005,763903,WMAR-TV,BLCDT20090619ACA,1348384,312,ND,1000,59442,395,,
40,DT,US,MD,BALTIMORE,392010,763859,WNUV,BMLCDT20110131ASB,1412726,372.8,DA,845,7933,456.8,0,106798
41,DT,US,MD,BALTIMORE,391715,764538,WUTB,BLCDT20100809CHT,1423088,313,DA,290,60552,414.1,0,105375
46,DT,US,MD,BALTIMORE,392010,763859,WBFF,BLCDT20110131ASE,1408141,372.8,DA,655,10758,456.8,0,96405
28,DT,US,MD,FREDERICK,391537,771844,WFPT,BLEDT20090330AFA,1302744,158,DA,41.2,40626,304.3,0,87776
26,DT,US,MD,HAGERSTOWN,393945,775754,WHAG-TV,BLCDT20090612AFP,1316764,376,DA,575,25045,559.4,0,87531
39,DT,US,MD,HAGERSTOWN,395325,775805,WJAL,BLCDT20090804ACD,1325873,372,DA,105,10259,655.3,0,94348
44,DT,US,MD,HAGERSTOWN,393904,775815,WWPB,BLEDT20110509ACP,1425803,369,DA,500,65943,547.9,0,104333
36,DT,US,MD,OAKLAND,392414,791737,WGPT,BLEDT20110509ACO,1425806,285,DA,100,40619,1057.5,0,104334
21,DT,US,MD,SALISBURY,383017,753837,WBOC-TV,BLCDT20090618ABK,1289965,279,DA,740,71218,288,0,90492
28,DT,US,MD,SALISBURY,382309,753533,WCPB,BLEDT20090209AEM,1291470,155,DA,132,40618,166.2,0,87913
47,DT,US,MD,SALISBURY,383006,754409,WMDT,BLCDT20090319ADC,1271105,307,DA,350,16455,311.6,0,87632
39,DC,US,MD,TOWSON,392410,763612,WMJF-LD,BDCCDTL20130329ACY,1548065,0,DA,5,191262,212,110,112853
10,DT,US,ME,AUGUSTA,440915,700037,WCBB,BLEDT20090227AAF,1297494,304,ND,30,39659,386.7,,
2,DT,US,ME,BANGOR,444410,684017,WLBZ,BLCDT20090909AAK,1331444,192,ND,3,39644,268,,
7,DT,US,ME,BANGOR,444535,683401,WVII-TV,BLCDT20090225AAR,1295665,229,ND,14,3667,324,,
13,DT,US,ME,BANGOR,444212,690447,WABI-TV,BLCDT20101215AIS,1412038,391.4,ND,12,17005,506,,
45,DT,US,ME,BIDDEFORD,432500,704817,WMEA-TV,BLEDT20021017AAR,615342,231,DA,50,39656,349.4,90,41344
10,DT,US,ME,CALAIS,450145,671925,WMED-TV,BLEDT20030307AAM,632411,133,ND,3.5,39649,200.6,,
35,DT,US,ME,LEWISTON,435106,701940,WPME,BLCDT20081103ADE,1275483,278,ND,14.3,48408,345,,
9,DT,US,ME,ORONO,444211,690447,WMEB-TV,BLEDT20020508AAS,603000,375,DA,15,39648,490,0,40127
8,DT,US,ME,POLAND SPRING,435044,704543,WMTW,BLCDT20090622ACH,1316058,612,ND,29.8,73288,766,,
38,DT,US,ME,PORTLAND,435528,702928,WGME-TV,BLCDT20061206ACS,1163014,465,DA,1000,25683,580.5,0,71807
43,DT,US,ME,PORTLAND,435106,701940,WPXT,BLCDT20060714ABB,1139498,254,DA,137,53065,331,0,72996
44,DT,US,ME,PORTLAND,435130,704241,WCSH,BLCDT20050705AAH,1070338,587.9,DA,1000,39664,741.4,0,43473
8,DT,US,ME,PRESQUE ISLE,463304,674834,WAGM-TV,BMLCDT20121003ABP,1519031,350,ND,10,48305,525,,
10,DT,US,ME,PRESQUE ISLE,463306,674838,WMEM-TV,BLEDT20090121ABS,1289835,353,ND,14.5,39662,541,,
23,DT,US,ME,WATERVILLE,440915,700037,WPFO,BLCDT20090612ABJ,1316507,331,DA,390,84088,416,0,87649
11,DT,US,MI,ALPENA,444211,833126,WBKB-TV,BLCDT20090623AAS,1318184,201.8,DA,20,67048,447.4,0,86620
24,DT,US,MI,ALPENA,450817,840944,WCML,BLEDT20110707ABQ,1434666,399.5,DA,400,9917,676.5,0,100757
50,DT,US,MI,ANN ARBOR,422901,831844,WPXD-TV,BLCDT20120801ADY,1509777,293,DA,345,5800,524,155,111094
15,DT,US,MI,BAD AXE,433233,833937,WDCQ-TV,BLEDT20030922ABG,686923,309,ND,200,16530,495.9,,
14,DC,US,MI,BATTLE CREEK,421717,850954,WOBC-CD,BLDTA20120403ADU,1494821,0,DA,0.277,67001,364.2,330,23503
20,DT,US,MI,BATTLE CREEK,423415,852807,WOTV,BLCDT20130207AAQ,1540804,329,ND,255,10212,587,,
44,DT,US,MI,BATTLE CREEK,424045,850357,WZPX-TV,BLCDT20020510AAG,602523,305,ND,212,71871,569,,
22,DT,US,MI,BAY CITY,432814,835036,WNEM-TV,BLCDT20050615ACI,1067365,275.3,DA,1000,41221,456.7,0,67337
46,DT,US,MI,BAY CITY,432827,835045,WBSF,BLCDT20090622AFF,1318844,306,DA,70,82627,489.7,0,87735
9,DT,US,MI,CADILLAC,440812,852033,WWTV,BLCDT20091217ACZ,1347737,497,ND,45,26994,895.5,,
17,DT,US,MI,CADILLAC,444453,850408,WCMV,BLEDT20050914AAI,1084741,393,DA,338,9922,744,0,60511
32,DT,US,MI,CADILLAC,440812,852033,WFQX-TV,BLCDT20091217ACU,1347766,422,DA,200,25396,824.5,335,104034
5,DT,US,MI,CALUMET,470211,884143,WBKP,BLCDT20090818ABS,1438613,301,DA,6.4,76001,603,0,85792
35,DT,US,MI,CHEBOYGAN,453901,842037,WTOM-TV,BLCDT20040420AAI,687918,168,DA,78,21254,357,0,58961
7,DT,US,MI,DETROIT,422738,831250,WJBK,BLCDT20090813ABG,1326748,314,DA,27.2,73123,520.4,0,90122
14,DT,US,MI,DETROIT,422901,831844,WKBD-TV,BPCDT20080619ABE,1451078,293.6,DA,385,51570,524.7,0,107151
18,DC,US,MI,DETROIT,422901,831844,WDWO-CD,BLDTA20130108ABZ,1536487,0,DA,14,68444,471.5,45,16531
21,DT,US,MI,DETROIT,422653,831023,WMYD,BLCDT20040524AOG,1002355,324,DA,500,74211,523.3,0,69338
33,DC,US,MI,DETROIT,422429,830530,W33BY,BDFCDTA20121023ACI,1521381,0,DA,4,25722,253.3,325,110840
40,DC,US,MI,DETROIT,421955,830242,WLPC-LD,BLDTL20111202AEE,1478015,0,DA,2.34,168471,316,0,76289
41,DT,US,MI,DETROIT,422814,831501,WXYZ-TV,BLCDT20081222AAS,1285428,305,DA,1000,10267,516.1,0,87212
43,DT,US,MI,DETROIT,422652,831023,WTVS,BLEDT20091014ACH,1338586,318,ND,600,16817,516.8,,
44,DT,US,MI,DETROIT,422653,831023,WWJ-TV,BLCDT20100419AAS,1364185,323,ND,425,72123,522.8,,
45,DT,US,MI,DETROIT,422858,831219,WDIV-TV,BLCDT20090624ABW,1318902,306,DA,872,53114,517,0,89928
40,DT,US,MI,EAST LANSING,424207,842448,WKAR-TV,BLEDT20110817ACE,1437674,295.5,DA,425,6104,564.9,0,107974
48,DT,US,MI,ESCANABA,460805,865655,WJMN-TV,BLCDT20101008ABV,1402515,355,DA,1000,9630,608,0,101023
12,DT,US,MI,FLINT,431349,840332,WJRT-TV,BLCDT20100503ACT,1365294,286,ND,30,21735,477.5,,
16,DT,US,MI,FLINT,431331,840433,WSMH,BLCDT20090804ABG,1324736,365.5,DA,245,21737,556.9,0,101759
