uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
K27IN-D,TV_TRANSLATOR,29,125037,0,1258454,LD,1000.000,23503,0.0,1557.0,9.0,0.0,KEYHOLE,42.080478,-112.208851,179.8,8000,23279,,KUPX-TV,57884,40.653278,-112.202445,CDBS
K33IM-D,TV_TRANSLATOR,8,50370,0,1284417,LD,1000.000,23503,0.0,1557.0,9.0,0.0,KEYHOLE,42.080478,-112.208851,-13.1,8000,37729,,KIFI-TV,66258,43.501021,-112.662766,CDBS
K35GW-D,TV_TRANSLATOR,17,62399,0,1297844,LD,377.000,20732,327.0,1555.0,7.0,0.0,KEYHOLE,42.080478,-112.208851,-13.0,8000,63693,,KISU-TV,62430,43.500465,-112.660822,CDBS
K39KK-D,TV_TRANSLATOR,42,181295,0,1424421,LD,1000.000,23503,0.0,1568.0,9.0,0.0,KEYHOLE,42.080478,-112.208851,179.8,8000,25641,,KUED,69396,40.659111,-112.202722,CDBS
K51KS-D,TV_TRANSLATOR,44,50361,0,1284421,LD,1600.000,88373,0.0,1566.0,9.0,0.0,KEYHOLE,42.080478,-112.208851,179.8,8000,24036,,KBYU-TV,6823,40.659111,-112.202722,CDBS
K14MC-D,TV_TRANSLATOR,17,62456,0,1429600,LD,2.500,20748,310.0,1885.5,5.5,0.0,KEYHOLE,42.612696,-112.002182,-55.9,8000,41197,,KISU-TV,62430,42.866778,-112.514176,CDBS
K07BK,TV_TRANSLATOR,17,8808,0,49131,TX,26.000,22997,0.0,2108.0,0.0,0.0,KEYHOLE,42.629920,-111.684116,-68.6,8000,58492,,KISU-TV,62430,42.866778,-112.514176,CDBS
K11BC,TV_TRANSLATOR,8,8802,0,301652,TX,267.000,23133,0.0,2148.0,0.0,0.0,KEYHOLE,42.629920,-111.684116,-39.1,8000,1267,,KIFI-TV,66258,43.501021,-112.662766,CDBS
K13AY,TV_TRANSLATOR,38,8811,0,302101,TX,265.000,23191,0.0,2148.0,0.0,0.0,KEYHOLE,42.629920,-111.684116,-168.7,8000,79175,,KSL-TV,6359,40.659111,-112.202722,CDBS
K35HD-D,TV_TRANSLATOR,38,125121,0,1395185,LD,1000.000,93042,0.0,2164.0,24.0,0.0,KEYHOLE,42.629920,-111.684116,-168.7,8000,79175,,KSL-TV,6359,40.659111,-112.202722,CDBS
K43GP-D,TV_TRANSLATOR,8,8805,0,1395188,LD,1000.000,93040,0.0,2164.0,24.0,0.0,KEYHOLE,42.629920,-111.684116,-39.1,8000,1267,,KIFI-TV,66258,43.501021,-112.662766,CDBS
K51HM-D,TV_TRANSLATOR,17,125090,0,1395192,LD,1000.000,93036,0.0,2164.0,24.0,0.0,KEYHOLE,42.629920,-111.684116,-68.6,8000,58492,,KISU-TV,62430,42.866778,-112.514176,CDBS
K07EN-D,TV_TRANSLATOR,23,5811,0,1327160,LD,44.000,88209,270.0,959.9,15.0,0.0,KEYHOLE,48.025118,-114.056278,178.3,8000,4178,,KTMF,14675,47.019369,-114.013721,CDBS
K16KB-D,TV_TRANSLATOR,21,189999,0,1494294,LD,373.000,20724,105.0,1184.1,5.1,0.0,KEYHOLE,48.186974,-112.021801,142.4,8000,34272,,KUGF,169028,47.535847,-111.284724,CDBS
K18KM-D,TV_TRANSLATOR,7,190001,0,1494295,LD,373.000,20724,105.0,1184.1,5.1,0.0,KEYHOLE,48.186974,-112.021801,142.4,8000,15324,,KRTV,35567,47.535430,-111.284863,CDBS
K23LX-D,TV_TRANSLATOR,8,190002,0,1494296,LD,373.000,20724,105.0,1184.1,5.1,0.0,KEYHOLE,48.186974,-112.021801,142.4,8000,10428,,KFBB-TV,34412,47.535514,-111.284696,CDBS
K25MZ-D,TV_TRANSLATOR,12,190003,0,1494297,LD,373.000,20724,105.0,1184.1,5.1,0.0,KEYHOLE,48.186974,-112.021801,171.1,8000,43876,,KTVH-DT,5290,46.826330,-111.709980,CDBS
K09ZB-D,TV_TRANSLATOR,7,182692,0,1629394,LD,121.000,117037,0.0,976.0,12.8,0.0,KEYHOLE,48.494609,-109.712313,-131.7,8000,73635,,KRTV,35567,47.535430,-111.284863,CDBS
K27JW-D,TV_TRANSLATOR,7,168411,0,1446437,LD,5276.000,23503,0.0,2125.0,19.0,0.0,KEYHOLE,48.854724,-111.141641,-175.8,8000,68838,,KRTV,35567,47.535430,-111.284863,CDBS
K36DK-D,TV_TRANSLATOR,7,18192,0,1487870,LD,410.000,23503,0.0,2123.0,17.0,0.0,KEYHOLE,48.854585,-111.142308,-175.8,8000,68819,,KRTV,35567,47.535430,-111.284863,CDBS
